id,name,party,sector,country
lk,Lars Klingbeil,SPD,Politik,Deutschland
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland
ul,Ursula von der Leyen,CDU,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
cs,Dr. Constanze Stelzenmüller,,Recht,USA
500,Folge 500,,,
cl,Christian Lindner,FDP,Poltiker,Deutschland
ks,Karl Schlögel,,Geschichte,Deutschland
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine
kd,Kristina Dunz,,Medien,Deutschland
el,Egils Levits,,Politik,Lettland
501,Folge 501,,,
ab,Annalena Baerbock,Bündnis 90/ Die Grünen,Politik,Deutschland
ft,Frans Timmermans,,Politik,Niederlande
am,Andrij Melnyk,,Politik,Ukraine
al,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,,Verteidigung,Deutschland
502,Folge 502,,,
rh,Robert Habeck,Bündnis 90/ Die Grünen,Politik,Deutschland
cm,Claudia Major,,Politik,Deutschland
kp,Katja Petrowskaja,,Medien,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
503,Folge 503,,,
